,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
179,"Havana (feat. Young Thug)","Camila Cabello",616622,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
180,"The greatest","Lana Del Rey",616150,https://open.spotify.com/track/6ERZ30cRjVWGtVLhczX9aL
181,Paradise,Bazzi,615931,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
182,"I Like It","Cardi B",612466,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
183,"wish you were gay","Billie Eilish",611279,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
184,"Too Good At Goodbyes","Sam Smith",609703,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
185,"God's Plan",Drake,609319,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
186,Juice,Lizzo,607114,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
187,"Psycho (feat. Ty Dolla $ign)","Post Malone",604224,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
188,Afterglow,"Taylor Swift",603410,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi
189,"Under Pressure - Remastered",Queen,600822,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
190,"i love you","Billie Eilish",599674,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
191,CANGURO,WOS,593639,https://open.spotify.com/track/4wyNKAZe82BNlp2lHiR1FX
192,"Small Talk","Katy Perry",593380,https://open.spotify.com/track/4NmE2ytXI8S2svTRSmEdpO
193,"Something Just Like This","The Chainsmokers",591002,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
194,"ocean eyes","Billie Eilish",590587,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
195,Closer,"The Chainsmokers",589753,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
196,Congratulations,"Post Malone",589148,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
197,"Pure Water (with Migos)",Mustard,588362,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
198,"Murder On My Mind","YNW Melly",586066,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
199,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",584384,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
200,"On My Way","Alan Walker",583411,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
